title,title_en,content,content_EN,end_user (最终用户),supplier (中标单位),contract_value_RMB,created,deadline,public_unit,purchase_type,project_number
航天城武警部队智慧磐石项目-智能哨位声光报警器,Space City Armed Police Force Wisdom Rock Project - Smart Sentinel Sound Alarm,一、采购清单其他二、主要内容标题：航天城武警部队智慧磐石项目-智能哨位声光报警器场次号：XJ020080600226发布时间：2020-08-13 13:15:00参与方式：非定向询价出价方式：多次性出价发布单位：航天东方红卫星有限公司最终用户：航天东方红卫星有限公司操作员：gudingzichan联系人：梁天联系方式：XXXXXXXXXXX付款方式：验收合格付款附件：详见航天电子采购平台备注：本次采购为“航天城武警部队智慧磐石项目”设备的补充采购与安装调试 ，供货单位提供的产品必须与原系统兼容，且必须保证并承担与原系统的对接及调试。供应商产品名称型号规格是否国产标准质量等级封装形式产品批次备注成交数量最新报价（单价）成交总价到货日期到站地点航天华明科技（北京）有限公司智能哨位声光报警器 BL-APG1000-AG-06BL-APG1000-AG-06是BL-APG1000-AG-063.0台8400.0元25200.0元2020-08-20        航天东方红卫星有限公司北京航天通安电子技术有限公司智能哨位声光报警器 BL-APG1000-AG-06BL-APG1000-AG-06是BL-APG1000-AG-06台8800.0元元2020-08-19航天东方红卫星有限公司北京航天华兴科技有限责任公司智能哨位声光报警器 BL-APG1000-AG-06BL-APG1000-AG-06是BL-APG1000-AG-06台9200.0元元2020-08-26甲方指定地点三、响应方式有意参加本项目的企业，请与本公告截止时间之前登陆XXXXXX平台（XXXXXXXXXXX）与该项目采购人员联系。按照采购单位要求在提交截纸时间前提交询价响应文件，未按要求提交的视为无效响应。,"First, the purchase list, other two, main content title: Space City Armed Police Force Wisdom Rock Project - Smart Sentinel Sound Alarm Square: xj020080600226 Release time: 2020-08-13 13:15:00 Participation: non-fixed inquiry bid Way: Multiple Bid Publishing Units: Space Oriental Red Satellite Co., Ltd .: Aerospace Oriental Red Satellite Co. Platform Remarks: This purchase is the supplementary procurement and installation and commissioning of ""Aerospace City Armed Police Force"" equipment, the products provided by the supply unit must be compatible with the original system, and must guarantee and bear the docking and debugging of the original system. Supplier Product Name Model Specifications Domestic Standard Quality Level Package Form Product Batch Remarks Transaction Quantity Latest Offer (Price) Total Price Free Date to Station Location Space Huaming Technology (Beijing) Co., Ltd. Smart Sense Sound Alarm BL- APG1000-AG-06BL-APG1000-AG-06 is BL-APG1000-AG-063.0 Taiwan 8400.0 yuan 25200.0 yuan 2020-08-20 Aerospace Oriental Red Satellite Co., Ltd. Beijing Aerospace Tongan Electronic Technology Co., Ltd. Intelligent sentinel sound and light alarm BL -APG1000-AG-06BL-APG1000-AG-06 is BL-APG1000-AG-06 Taiwan 8800.0 yuan Yuan 2020-08-19 Aerospace Oriental Red Satellite Co., Ltd. Beijing Aerospace Huaxing Technology Co., Ltd. Intelligent sentinel sound and light alarm BL- APG1000-AG-06BL-APG1000-AG-06 is a BL-APG1000-AG-06 station 9200.0 yuan 2020-08-26 Party A designated place three, in response to enterprises that participate in this project, please follow the deadline of this announcement Log in to the XXXXXXXXXXXXX in contact with the project procurement person. According to the procurement unit, submit the inquiry response file before submitting the trip time, and will not be subject to invalid response as required.",航天东方红卫星有限公司,航天华明科技（北京）有限公司,8800,8/13/2020 15:57:29,8/20/2020 0:00:00,中国航天科技集团有限公司,中标公告,HTXJ020080600226
环境噪声智能采集终端采购询价结果公示,Environmental noise intelligent acquisition terminal procurement inquiry results publicity,一、项目名称：环境噪声智能采集终端采购项目二、询价单位：中国人民解放军63811部队地址：海南省文昌市联系人：程先生联系电话：XXXXXXXXX、询价结果2020年11月9日进行了现场询价开标，并经我单位询价小组对3家参评单位进行评审，最后形成评标结果如下：建议中标人名称投标价格（人民币元）硕橙（厦门）科技有限公司15120.00四、质询公告各有关当事人如有异议，可以在公示时间内，以书面的形式向询价小组提出质疑（须提供质疑函并加盖公章，联系人：程先生，联系电话：XXXXXXXXX），逾期将不再受理。质疑函（加盖投标人公章）应包含以下内容：（一）投标人的姓名或者名称、地址、邮编、联系人及联系电话；（二）具体、明确的质疑事项和与质疑事项相关的请求；（三）事实依据；（四）必要的法律依据；（五）提出质疑的日期。  中国人民解放军63811部队           2020年11月13日,"I. Project Name: Environmental Noise Intelligent Collection Terminal Procurement Project 2, Inquiry Unit: China People's Liberation Army 63811 Troupe Address: Hainan Wenchang City Contact: Mr. Cheng Tel: XXXXXXXXX, inquiry results November 9, 2020 The on-site inquiry is bidding, and the three participating units have been reviewed by our unit inquiry team. Finally, the results of the bid evaluation are as follows: It is recommended that the winning bidder name bidding price (RMB Yuan) Shuo Orange (Xiamen) Technology Co., Ltd. 15120.00 Fourth, Question Announcement All relevant parties may question the inquiry team in a written form in public presentation (must provide a question letter and cover the official seal, contact: Mr. Cheng, contact phone: xxxxxxxxx), will not be accepted overdue . Questioning letter (stamping the bid guild) should include the following: (1) The name or name, address, zip code, contact and contact number of the bidder; (2) the specific, clear questioning and request related to questioning matters (3) The factual basis; (4) the necessary legal basis; (5) questioning the date. China People's Liberation Army 63811 Forces November 13, 2020",中国人民解放军63811部队,硕橙（厦门）科技有限公司,15120,11/13/2020 16:32:50,11/24/2020 0:00:00,战略支援部队,中标公告,ESCG-2020-10-27
结构损伤及泄漏智能诊断演示系统研制,Development of Structural Damage and Leakage Intelligent Demonstration System,一、采购清单可靠性/测试性/维修性二、主要内容标题：结构损伤及泄漏智能诊断演示系统研制场次号：XJ020090500106发布时间：2020-09-10 21:49:01参与方式：非定向询价出价方式：一次性出价发布单位：北京卫星环境工程研究所最终用户：北京卫星环境工程研究所操作员：李征联系人：李征联系方式：XXXXXXXXXXX付款方式：验收合格付款附件：详见XXXXXX平台备注：务必按时交货。供应商产品名称型号规格是否国产标准质量等级封装形式产品批次备注成交数量最新报价（单价）成交总价到货日期到站地点天津精仪精测科技有限公司结构损伤及泄漏智能诊断演示系统非标非标是非标1.0套30000.0元30000.0元2020-09-30北京天津爱思达新材料科技有限公司结构损伤及泄漏智能诊断演示系统非标非标是非标套36000.0元元2020-09-30北京杭州欧贲科技有限公司结构损伤及泄漏智能诊断演示系统非标非标是非标套43000.0元元2020-09-30北京三、响应方式有意参加本项目的企业，请与本公告截止时间之前登陆XXXXXX平台（XXXXXXXXXXX）与该项目采购人员联系。按照采购单位要求在提交截纸时间前提交询价响应文件，未按要求提交的视为无效响应。,"I. Purchase list Reliability / Test / Repair II. Main content Title: Structure damage and leakage intelligent diagnostic demo system development site number: xj020090500106 Published: 2020-09-10 21:49:01 Participation mode: non-fixed Price random: One-time bid release unit: Beijing Satellite Environment Engineering Research Institute end users: Beijing Satellite Environment Engineering Research Institute Operator: Li Zheng Contact: Li Zhuo Contact: xxxxxxxxxxx payment method: Acceptance Qualified Payment Accessories: See xxxxxx Platform Note: Be sure to deliver on time. Supplier Product Name Model Specifications Domestic Standard Quality Level Pack Form Product Batch Remarks Transaction Quantity Latest Quote (Unit) Transaction Total Free Date to Station Location Tianjin Jingji Jingti Technology Co., Ltd. Structural Damage and Leak Intelligent Diagnostic Demonstration System Non The standard is non-standard 1.0 set 30000.0 yuan 30000.0 yuan 2020-09-30 Beijing Tianjin Ericzida new material technology Co., Ltd. Structural damage and leak intelligent diagnosis demonstration system non-standard non-standard is non-standard 36000.0 yuan 2020-09-30 Beijing Hangzhou European Technology Co., Ltd. Structural Damage and Leak Intelligent Diagnostic Demonstration System Non-standard Notice is Non-Marked 43000.0 yuan 2020-09-30 Beijing III, the response method is interested in participating in this project, please log in to XXXXXX before the announcement The platform (XXXXXXXXXX) is contacted with the project procurement person. According to the procurement unit, submit the inquiry response file before submitting the trip time, and will not be subject to invalid response as required.",北京卫星环境工程研究所,天津精仪精测科技有限公司,30000,9/11/2020 9:25:13,9/17/2020 0:00:00,中国航天科技集团有限公司,中标公告,HTXJ020090500106
无人机测控系统仪器检修及标校中标公告,UAV control system instrument maintenance and standard winning bid announcement,无人机测控系统仪器检修及标校中标公告基本信息：（仅供网站录入使用）公告类别中标招标/中标/更正/其他，从中选择1项。资格预审，竞争性谈判，邀请招标，询价等公告暂作为招标公告类别。密 级公开机密/秘密/公开，从中选择1项有效截止时间2020-07-30指企事业单位参与截止时间。对于公开招标、资格预审、竞争性谈判、邀请招标、询价等招标公告，有效截止时间指领取标书截止时间；中标公告有效截止时间指公示截止时间；更正公告、其他公告的有效截止时间可根据实际情况填写。格式：2019-01-09项目预算（万元）6指该项目的预算金额，单位为“万元”。一、项目概要1.项目名称：无人机测控系统仪器检修与标校；2.采购人名称：河北石家庄某院校；3.项目预算：人民币6万元；4.招标方式：询价；5.招标公告发布时间：于2020年07月02日正式在全军武器装备信息采购网发布招标公告；6.招标评审日期：2020年07月22日；7.招标评审方法：询价。二、采购评审结果询价评审专家组审查了投标文件，拟确定石家庄数英仪器有限公司为本项目的供货单位，成交金额为人民币3.36万元。三、公示期限即日起对外协评审结果予以公示，公示期为5个工作日，如对该评审结果存在异议，请在公示期内以书面形式（署名真实姓名、联系方式，以法人名义投诉的必须加盖单位公章并经法定代表人签字）向采购人提出质疑，逾期将不予受理。四、联系人及联系方式联系人：刘老师电话：XXXXXXXXXXX地址：河北石家庄邮编：050003,"UAV control system instrument maintenance and standard winning bid announcement basic information: (for website access) Announcement category bidding / winning bid / correction / other, from which 1 is selected. Qualification prequalification, competitive negotiation, invitation of bidding, inquiry, etc. As a tender announcement category. Determine open confidential / secret / disclosure, from which 1 effective deadline 2020-07-30 refers to the participation time of enterprises and institutions. For public bidding, prequalification, competitive negotiation, invitation to tenders, inquiry, etc. The actual situation is filled in. Format: 2019-01-09 Project Budget (10,000 yuan) 6 Refers to the budget amount of the project, and unit is ""10,000 yuan"". I. Project Name: Project Name: UAV control system instrument maintenance and standard; 2. Name of the purchaser: a college, Hebei Shijiazhuang; 3. Project budget: RMB 60,000; 4. Tendering method: inquiry; 5. Tender Notice Release time: July 02, 2020 officially released tendering announcement in the military weapons and equipment information purchase network; 6. Tender review date: July 22, 2020; 7. Tender review method: inquiry. Second, the procurement evaluation results Inquiry Evaluation Expert Group reviewed the bid documents, and it is planned to determine that Shijiazhuang Niying Instrument Co., Ltd. is the supplier of the project, the transaction amount is RMB 33,600. Third, the publicity period will be publicized, and the publicity period is publicized. The publicity period is 5 working days. If there is any objection to the results of the review, please in writing in the publicity period (signature real name, contact information, complaint It must be stated in the official seal and signed by a legal representative) to question to the purchaser, and will not be accepted within the time limit. Fourth, contact and contact information Contact: Teacher Liu Phone: XXXXXXXXXXX Address: Shijiazhuang, Hebei Post Code: 050003",河北石家庄某院校,石家庄数英仪器有限公司,33600,7/24/2020 16:19:29,7/30/2020 0:00:00,陆军,中标公告,
无人机运用评估系统中标公告,Unmanned Using Assessment System Winning Notice,一、项目概要1.项目名称：无人机运用评估系统；2.采购人名称：河北石家庄某院校；3.项目预算：人民币4万元；4.招标方式：公开招标；5.招标公告发布时间：于2020年07月03日正式在全军武器装备信息采购网发布招标公告；6.招标评审日期：2020年07月22日；7.招标评审方法：询价。二、采购评审结果询价评审专家组审查了投标文件，拟确定石家庄学院为本项目的供货单位，成交金额为人民币3.8万元。三、公示期限即日起对外协评审结果予以公示，公示期为5个工作日，如对该评审结果存在异议，请在公示期内以书面形式（署名真实姓名、联系方式，以法人名义投诉的必须加盖单位公章并经法定代表人签字）向采购人提出质疑，逾期将不予受理。四、联系人及联系方式联系人：姜老师电话：XXXXXXXXXXX地址：河北石家庄邮编：050003,"I. Project Name: Project Name: UAV Application Evaluation System; 2. Purchaser Name: Hebei Shijiazhuang A College; 3. Project Budget: RMB 40,000; 4. Tendering Method: Open Bidding; 5. Tender Notice Release time: July 03, 2020 officially released tender notice in the military weapon and equipment information purchase network; 6. Bidding review date: July 22, 2020; 7. Tender review method: inquiry. Second, the results of the procurement evaluation results Inquiry Evaluation expert group reviewed the bid documents, and it is planned to determine the supply unit of the Shijiazhuang School as the project, the turnover amount is 38,000 yuan. Third, the publicity period will be publicized, and the publicity period is publicized. The publicity period is 5 working days. If there is any objection to the results of the review, please in writing in the publicity period (signature real name, contact information, complaint It must be stated in the official seal and signed by a legal representative) to question to the purchaser, and will not be accepted within the time limit. Fourth, contact and contact information Contact: Jiang teacher phone: xxxxxxxxxxx Address: Shijiazhuang, Hebei Post Code: 050003",河北石家庄某院校,石家庄学院,38000,7/24/2020 16:19:30,7/29/2020 0:00:00,陆军,中标公告,
射线检测自动洗片,Radi detection automatic washing,一、采购清单计算机与软件二、主要内容标题：射线检测自动洗片场次号：XJ020041600255发布时间：2020-05-06 10:57:56参与方式：非定向询价出价方式：多次性出价发布单位：北京航天特种设备检测研究发展有限公司最终用户：北京航天特种设备检测研究发展有限公司操作员：特检采购联系人：伍建雄联系方式：XXXXXXXXXXX付款方式：验收合格付款附件：详见XXXXXX平台备注：供应商产品名称型号规格是否国产标准质量等级封装形式产品批次备注成交数量最新报价（单价）成交总价到货日期到站地点北京恒科远航科技有限公司射线检测自动洗片机/详见询价文件是/1.0台43000.0元43000.0元2020-04-28客户指定位置三、响应方式有意参加本项目的企业，请与本公告截止时间之前登陆XXXXXX平台（XXXXXXXXXXX）与该项目采购人员联系。按照采购单位要求在提交截纸时间前提交询价响应文件，未按要求提交的视为无效响应。,"I. Purchasing list computer and software two, main content title: Radi detection automatic washing season: xj020041600255 Release time: 2020-05-06 10:57:56 Participation: non-fixed inquiry bidding method: multi-time bid release unit : Beijing Aerospace Special Equipment Testing Research and Development Co., Ltd. End users: Beijing Aerospace Special Equipment Testing Research and Development Co., Ltd. Operators: Check-in Contact: Wu Jianxiong Contact: xxxxxxxxxxx Payment Method: Acceptance Qualified Payment Accessories: For details, please refer to XXXXXX : Supplier Product Name Model Specifications Domestic Standard Quality Level Package Product Batch Remarks Transaction Quantity Latest Offer (Price) Targeting Date Free Date to Station Location Beijing Hengke Voyage Technology Co., Ltd. Radiation Detection Automatic Washing Machine / Details Inquiry files are /1.0 sets 43000.0 yuan 43000.0 yuan 2020-04-28 Customer designated position three, response mode intentionally participate in this project, please contact the item procurement staff before the deadline of this project is deadlines (XXXXXXXXXXX) According to the procurement unit, submit the inquiry response file before submitting the trip time, and will not be subject to invalid response as required.",北京航天特种设备检测研究发展有限公司,北京恒科远航科技有限公司,43000,5/6/2020 11:04:18,5/13/2020 0:00:00,中国航天科技集团有限公司,中标公告,HTXJ020041600255
复合翼无人机询价,Composite wing drone inquiry,中标公告关联编码: SLJDGG20200728045中科高盛咨询集团有限公司受中国人民解放军某部队组织采购项目招标工作，现就本次项目评审结果公布如下：一、项目名称：复合翼无人机询价二、项目编号: ZKGSF(ZB)-20203285三、开标时间: 2020年08月26日  四、开标地点:  上海市吴中路3号五、评审结果如下：第一中标候选人：宇领星际航空（苏州）有限公司（4.8000万元）第二中标候选人：北京云影飞扬科技有限公司（4.9500万元）第三中标候选人：东莞市拓华复材制品有限公司（4.9800万元）六、公示时间：公示期为自公告发布之日起5个工作日止。公示期内，投标人如有疑议，须在公示期内向招标代理机构书面提交质疑申请文件，逾期将不再受理。提交的书面质疑文件应当包括下列内容：（一）质疑的采购项目名称和项目编号；（二）质疑人和被质疑人的名称，质疑人的地址、联系方式等；（三）具体的质疑事项、事实依据及相关证明材料；（四）提起质疑的日期。（五）书面质疑应由法定代表人签字并加盖单位公章，同时出具法定代表人资格证明书。由全权代表签字的，必须有法定代表人授权书和法定代表人资格证明书，并加盖单位公章。七、联系方式招标代理机构：中科高盛咨询集团有限公司江苏分公司地址：南京市建邺区白龙东街19号舜禹大厦10楼1008室联系人：黄留进 XXXXXXXXXXX电话：XXXXXXXXXXX,"Sub-bid announcement related code: SLJDGG20200728045 Zhongke Goldman Sachs Consulting Group Co., Ltd. is submitted to the procurement project of a military procurement project in the Chinese People's Liberation Army, which is now published as follows: 1. Project Name: Compound Wing Unmanal Machine Inquiry 2, Project Number: zkgsf (zb) -20203285 III: Opening time: August 26, 2020, Opening place: No. 3, Wuzhong Road, Shanghai, 5. The results of the review are as follows: First winning candidate: Yuji Star Airlines (Suzhou) limited Company (4.80 million yuan) Second winning candidate: Beijing Yingshot Feiyang Technology Co., Ltd. (495 million yuan) third winning candidate: Dongguan Tuica Fine Products Co., Ltd. (498 million yuan) Six, publicity time: publicity The period is 5 working hours from the date of the announcement. During the publicity, if there is a doubt, the bidder must submit a questioning application document on the publicity period, and will no longer be accepted within the time limit. Submitted written questioning documents should include the following: (1) Questioning the procurement project name and project number; (2) Questioning people and questioning the name, questioning address, contact information, etc .; (3) specific questioning , Factual basis and related certification materials; (4) filed a question. (5) Written questioning shall be signed by the legal representative and cover the unit of the unit, and issued a legal representative qualification certificate. Signed by the full representative, there must be a legal representative authorization and a legal representative qualification certificate, and a unit of official seal. Seven, contact information bidding agency: Zhongke Goldman Sachs Consulting Group Co., Ltd. Jiangsu Branch Address: Room 1008, 10th Floor, No. 19 Bailong East Street, Jianye District, Nanjing: Huang Sijin XXXXXXXXXX phone: xxxxxxxxxxx",中国人民解放军某部队,宇领星际航空（苏州）有限公司,48000,9/10/2020 16:48:49,9/17/2020 0:00:00,海军,中标公告,ZKGSF(ZB)-20203285
八旋翼无人机中标公告,Octopus unmanned bid announcement,一、项目概要1.项目名称：八旋翼无人机；2.采购人名称：河北石家庄某院校；3.项目预算：人民币5万元；4.招标方式：询价；5.招标公告发布时间：于2020年07月30日正式在全军武器装备信息采购网发布招标公告；6.招标评审日期：2020年08月21日；7.招标评审方法：最低价法。二、采购评审结果经过资格审查，专家综合评分，拟确定河北新途科技有限公司为本项目的预成交供应商，成交金额为人民币4.85万元。三、公示期限即日起对询价评审结果予以公示，公示期为5个工作日，如对该评审结果存在异议，请在公示期内以书面形式（署名真实姓名、联系方式，以法人名义投诉的必须加盖单位公章并经法定代表人签字）向采购人提出质疑，逾期将不予受理。四、联系人及联系方式联系人：陈老师电话：XXXXXXXXXXX/XXXXXXXXXXX地址：河北石家庄邮编：050003,"I. Project Name: Octa-Breaker Drone; 2. Purchaser Name: Hebei Shijiazhuang College; 3. Project Budget: RMB 50,000; 4. Tendering method: Inquiry; 5. Tender Notice Time: July 30, 2020, officially released tender notice in the military weapons and equipment information purchase network; 6. Bidding review date: July 21, 2020; 7. Tender review method: Minimum Price. Second, the results of the procurement review have been qualified to review, experts integrated score, to determine the pre-subcourse supplier of Hebei New Tube Technology Co., Ltd., the transaction amount is RMB 48,500. Third, the publicity period is issued to the results of the inquiry review, and the publicity period is 5 working days. If there is any objection to the results of the review, please in writing in a written form (signature real name, contact information, to complain It must be stamped with the unit of the unit and signature the legal representative) to question to the purchaser, and will not be accepted within the time limit. Fourth, contact and contact information Contact: Teacher Chen Phone: xxxxxxxxxxx / xxxxxxxxxxx Address: Shijiazhuang, Hebei Post Code: 050003",河北石家庄某院校,河北新途科技有限公司,48500,8/24/2020 17:48:14,8/28/2020 0:00:00,陆军,中标公告,
基于数字孪生的智能化试验验证技术研究,Research on Intelligent Test Verification Technology Based on Digital Twins,一、采购清单可靠性/测试性/维修性二、主要内容标题：基于数字孪生的智能化试验验证技术研究场次号：XJ020100900275发布时间：2020-11-14 22:32:48参与方式：非定向询价出价方式：多次性出价发布单位：一院空天业务部最终用户：一院空天业务部操作员：邱丰联系人：张先生联系方式：XXXXXXXXXXX付款方式：附件：详见XXXXXX平台备注：供应商产品名称型号规格是否国产标准质量等级封装形式产品批次备注成交数量最新报价（单价）成交总价到货日期到站地点北京理工大学基于数字孪生的智能化试验验证技术研究//是非标1.0项50000.0元50000.0元2020-11-15中国运载火箭技术研究院华腾合创科技（北京）有限公司基于数字孪生的智能化试验验证技术研究//是非标项70000.0元元2020-11-15中国运载火箭技术研究院北京子晨视觉文化传媒有限公司基于数字孪生的智能化试验验证技术研究//是非标项80000.0元元2020-11-15中国运载火箭技术研究院三、响应方式有意参加本项目的企业，请与本公告截止时间之前登录XXXXXX平台（XXXXXXXXXXX）与该项目采购人员联系。按照采购单位要求在提交截纸时间前提交询价响应文件，未按要求提交的视为无效响应。,"I. Purchase list Reliability / Test / Repair II, Main Content Title: Intelligent Test Verification Technology Based on Digital Twins: XJ020100900275 Release time: 2020-11-14 22:32:48 Participation: Non-directional Inquiry bidding method: Multi-order bid release unit: End users of the First Hospital: Announcement of an empty business department operator: Qiu Feng Contact: Mr. Zhang Contact: xxxxxxxxxxx payment method: Attachment: See xxxxx 平 platform Remarks: Supplier Product Name Model Specifications Domestic Standard Quality Level Package Form Product Batch Remarks Transaction Quantity Latest Offer (Unit) Total Purchase Date to Station Location Beijing Institute of Technology Based on Digital Twin Intelligent Test Verification Technology Research //// Is a non-standard 1.0 item 5000.0 yuan 5000.0 yuan 2020-11-15 China Trainer Research Institute Huadun Co-Book Technology (Beijing) Co., Ltd. Based on Digital Twins Intelligent Test Verification Technology Research // Non-Standards 70000.0 Yuan Yuan 2020-11 -15 China Trainer Research Institute Beijing Chi Chen Visual Culture Media Co., Ltd. Based on Digital Twin Intelligent Test Verification Technology Research // Non-Standard 8000.0 Yuan Yuan 2020-11-15 China Trainer Research Institute 3, response method intentionally Enterprises to participate in this project, please contact the item procurement staff before the deadline of this project is deadlines (xxxxxxxxxx). According to the procurement unit, submit the inquiry response file before submitting the trip time, and will not be subject to invalid response as required.",一院空天业务部,北京理工大学,50000,11/16/2020 16:44:36,11/21/2020 0:00:00,中国航天科技集团有限公司,中标公告,HTXJ020100900275
某领域地面无人化平台体制论证采购评审结果公示,Against field unmanned platform system argumentation procurement review results,一、项目概要1.项目名称：某领域地面无人化平台体制论证。2.项目编号：202005-JT-049。3.采购人名称：中国人民解放军某部队。4.项目预算：人民币5万元。5.采购方式：竞争性谈判。6.采购公告发布日期：2020年7月1日；（统一信息编码：HLJDGG20200701024）采购评审日期：2020年7月13日。7.采购评审方法：综合评分法。二、采购评审结果成交候选供应商排序如下：第一，河南平原光电有限公司。第二，航天科工智能机器人有限责任公司。第三，北京祥远通达科技有限公司。如公示期内无异议，采购人将确定排名第一的供应商为成交单位。三、公示期限即日起对采购评审结果予以公示，公示期为5个工作日。如对该评审结果存在异议，请在公示期内以书面形式（署名真实姓名、联系方式，以法人名义投诉的必须加盖单位公章并经法定代表人签字）向采购人提出质疑，逾期将不予受理。四、联系人及联系方式纪检监督人员：陈干事电话：XXXXXXXXXXX/XXXXXXXXXXX采购人联系人：谢参谋电话：XXXXXXXXXXX/XXXXXXXXXXX传真：XXXXXXXXXXX电子邮件：XXXXXXXXXXX地址：陕西省西安市新城区金花北路16号邮编：710032,"I. Project Summary 1. Project Name: There is no anthropidized platform system argument in a field. 2. Project number: 202005-JT-049.3. Purchaser Name: A troop of the Chinese People's Liberation Army. 4. Project budget: RMB 50,000. 5. Purchasing method: competitive negotiations. 6. Purchasing Announcement Date: July 1, 2020; (Unified Information Code: HLJDGG20200701024) Purchasing Review Date: July 13, 2020. 7. Purchase review method: Comprehensive score method. Second, the result of the result of the purchase review is sorted as follows: First, Henan Plain Optoelectronics Co., Ltd. Second, Aerospace Science and Technology Intelligent Robot Co., Ltd. Third, Beijing Xiangyuan Tongda Technology Co., Ltd. If there is no objection during the publicity, the purchaser will determine the ranked first supplier as the transaction unit. Third, the publicity period is issued to the results of the procurement review, and the publicity period is 5 working days. If there is any objection to the results of the review, please question the purchaser in writing in a written form (signature real name, contact information, and signature of the statutory, signature) in the publicity period. Acceptance. Fourth, contact and contact information Discipline inspection supervisor: Chen Ganfen Tel: XXXXXXXXXXX / XXXXXXXXXXXX / XXXXXXXXXXX / XXXXXXXXXXXXX / XXXXXXXXXXXXF fax: xxxxxxxxxx email: xxxxxxxxxxx Address: XXXXXXXXXXX address: Xixian City, Shaanxi Province, Jinhua North Road 16 Post Code: 710032",中国人民解放军某部队,河南平原光电有限公司,50000,2020-07-28 17:04:15 UTC,2020-07-31,陆军,中标公告,
